#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
2.564600e-02 4.463149e+04 1.905929e+03 4.796318e+04 4.685958e+04
3.546900e-02 3.686499e+04 1.042027e+03 3.600704e+04 3.700233e+04
4.537800e-02 2.875930e+04 6.606966e+02 2.805537e+04 2.940890e+04
5.528000e-02 2.448727e+04 4.791010e+02 2.345965e+04 2.394696e+04
6.523200e-02 2.035389e+04 3.566662e+02 2.039558e+04 1.993958e+04
7.522900e-02 1.717872e+04 2.693702e+02 1.757328e+04 1.688409e+04
8.519300e-02 1.476438e+04 2.146253e+02 1.470843e+04 1.444218e+04
9.516600e-02 1.203201e+04 1.651124e+02 1.226980e+04 1.250950e+04
1.051550e-01 1.040746e+04 1.343026e+02 1.055378e+04 1.093358e+04
1.151310e-01 9.351071e+03 1.154324e+02 9.477064e+03 9.636329e+03
1.251240e-01 8.615486e+03 9.424579e+01 8.669421e+03 8.550101e+03
1.351250e-01 7.951352e+03 8.724854e+01 7.842361e+03 7.634073e+03
1.451200e-01 7.035870e+03 7.419250e+01 6.963415e+03 6.862905e+03
1.551180e-01 6.119924e+03 6.466602e+01 6.148715e+03 6.199075e+03
1.651050e-01 5.476107e+03 5.804587e+01 5.515959e+03 5.626985e+03
1.750880e-01 5.070421e+03 5.337509e+01 5.068608e+03 5.134541e+03
1.850890e-01 4.726953e+03 4.815227e+01 4.718608e+03 4.704285e+03
1.950930e-01 4.360217e+03 4.364512e+01 4.386534e+03 4.329649e+03

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#3.751824e+00	1.376533e+03	-8.618606e+02	3.632423e+02	2.576202e+00	5.325984e+03	-2.796123e+03	7.652947e+02	4.300000e+00	 4.300000e+00	 1.145810e-02	 9.805059e-01	 1.011938e+00	 5.522863e+01	 72-17
