#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
2.564600e-02 -1.601354e+04 6.325086e+03 -7.123846e+03 -7.516204e+03
3.546900e-02 9.254776e+02 3.815159e+03 -4.588873e+03 -4.917518e+03
4.536800e-02 -3.167743e+03 2.368460e+03 -3.502288e+03 -3.559829e+03
5.531400e-02 -1.987380e+03 1.678381e+03 -3.034579e+03 -2.817244e+03
6.525800e-02 -3.475560e+03 1.303364e+03 -2.608822e+03 -2.318276e+03
7.520900e-02 -3.349979e+03 1.002909e+03 -2.076796e+03 -1.937747e+03
8.517500e-02 -4.024393e+02 7.208199e+02 -1.542474e+03 -1.623294e+03
9.515700e-02 -1.391675e+03 5.675477e+02 -1.233229e+03 -1.422894e+03
1.051620e-01 -8.999790e+02 4.437997e+02 -1.114226e+03 -1.248215e+03
1.151480e-01 -9.475565e+02 3.832416e+02 -1.115105e+03 -1.115209e+03
1.251460e-01 -5.805851e+02 3.156288e+02 -1.098018e+03 -1.005987e+03
1.351460e-01 -1.122903e+03 2.805437e+02 -1.009494e+03 -9.190463e+02
1.451320e-01 -1.161990e+03 2.448660e+02 -8.872592e+02 -8.586175e+02
1.551140e-01 -8.765460e+02 2.094551e+02 -7.752821e+02 -8.045326e+02
1.651020e-01 -5.205291e+02 1.810060e+02 -7.110270e+02 -7.569055e+02
1.751050e-01 -7.192835e+02 1.532352e+02 -7.007695e+02 -7.270865e+02
1.850970e-01 -5.717171e+02 1.451350e+02 -6.989105e+02 -6.968201e+02
1.950850e-01 -7.319844e+02 1.365361e+02 -6.923105e+02 -6.749953e+02

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#5.107928e+00	2.404463e+03	-1.134152e+03	-2.281932e+02	3.881684e+00	5.986749e+03	-2.500926e+03	-4.581187e+01	1.385000e+01	 9.030000e+00	 1.561758e-01	 1.100200e+00	 1.032106e+00	 6.185785e+01	 72-17
