#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
2.564600e-02 -1.467415e+04 3.747253e+03 -6.156024e+03 -6.374996e+03
3.546900e-02 -2.791040e+03 2.138581e+03 -4.099743e+03 -4.248330e+03
4.537800e-02 -9.187409e+02 1.389354e+03 -3.163168e+03 -3.129212e+03
5.528000e-02 -1.437411e+03 1.021824e+03 -2.666020e+03 -2.493445e+03
6.523200e-02 -2.303665e+03 7.435086e+02 -2.218192e+03 -2.069230e+03
7.522900e-02 -2.370586e+03 5.752496e+02 -1.742703e+03 -1.745215e+03
8.519300e-02 -1.450356e+03 4.423735e+02 -1.370694e+03 -1.502097e+03
9.516600e-02 -1.066197e+03 3.571042e+02 -1.199424e+03 -1.326426e+03
1.051550e-01 -1.054758e+03 2.864621e+02 -1.163998e+03 -1.177965e+03
1.151310e-01 -9.698841e+02 2.379100e+02 -1.151664e+03 -1.061719e+03
1.251240e-01 -1.296325e+03 2.072905e+02 -1.057225e+03 -9.595398e+02
1.351250e-01 -1.220865e+03 1.847082e+02 -8.978987e+02 -8.747296e+02
1.451200e-01 -8.854198e+02 1.576932e+02 -7.529436e+02 -8.059233e+02
1.551180e-01 -8.031777e+02 1.373050e+02 -6.714073e+02 -7.401774e+02
1.651050e-01 -5.908772e+02 1.152264e+02 -6.573676e+02 -6.844550e+02
1.750880e-01 -6.873998e+02 1.098447e+02 -6.611782e+02 -6.364294e+02
1.850890e-01 -6.097109e+02 9.784459e+01 -6.342967e+02 -5.896296e+02
1.950930e-01 -5.151985e+02 9.079194e+01 -5.771441e+02 -5.511037e+02

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#4.627775e+00	1.752778e+03	-2.699132e+02	-1.468899e+02	3.305792e+00	-2.002075e+03	7.938520e+02	-2.279403e+02	4.300000e+00	 4.300000e+00	 1.702446e-03	 1.052117e+00	 1.014825e+00	 6.251815e+01	 72-17
