#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
2.564600e-02 5.750541e+04 2.424869e+03 5.965492e+04 5.761670e+04
3.546900e-02 4.686628e+04 1.389059e+03 4.642906e+04 4.783860e+04
4.537800e-02 3.851100e+04 9.051151e+02 3.672811e+04 3.885520e+04
5.528000e-02 3.059527e+04 6.355957e+02 3.109228e+04 3.200379e+04
6.523200e-02 2.782448e+04 4.684603e+02 2.736266e+04 2.685935e+04
7.522900e-02 2.366461e+04 3.565487e+02 2.385717e+04 2.290864e+04
8.519300e-02 1.984759e+04 2.798363e+02 2.015098e+04 1.968315e+04
9.516600e-02 1.716575e+04 2.217555e+02 1.691910e+04 1.710479e+04
1.051550e-01 1.461400e+04 1.755967e+02 1.457008e+04 1.499808e+04
1.151310e-01 1.281028e+04 1.460674e+02 1.301321e+04 1.325252e+04
1.251240e-01 1.202171e+04 1.270938e+02 1.183815e+04 1.178589e+04
1.351250e-01 1.079225e+04 1.128308e+02 1.071910e+04 1.054064e+04
1.451200e-01 9.602465e+03 9.682492e+01 9.607942e+03 9.491473e+03
1.551180e-01 8.594226e+03 8.630087e+01 8.586786e+03 8.589789e+03
1.651050e-01 7.716027e+03 7.501289e+01 7.740111e+03 7.806211e+03
1.750880e-01 7.040247e+03 6.897523e+01 7.076750e+03 7.130169e+03
1.850890e-01 6.542943e+03 6.099282e+01 6.527920e+03 6.537004e+03
1.950930e-01 6.049124e+03 5.447455e+01 6.041032e+03 6.020062e+03

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#3.450283e+00	-1.283192e+03	7.469422e+02	7.252744e+01	2.573899e+00	2.095827e+03	-1.121249e+03	5.625632e+02	1.218000e+01	 7.310000e+00	 8.957827e-01	 1.018752e+00	 1.026941e+00	 5.274044e+01	 72-17
