#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
2.564600e-02 1.587464e+04 9.122079e+03 2.801736e+04 2.688817e+04
3.546900e-02 2.207152e+04 5.464229e+03 2.111526e+04 2.012709e+04
4.536800e-02 1.938880e+04 3.446586e+03 1.620016e+04 1.591047e+04
5.531400e-02 8.644846e+03 2.382770e+03 1.228067e+04 1.277015e+04
6.525800e-02 1.192436e+04 1.837897e+03 9.602760e+03 1.040783e+04
7.520900e-02 8.468217e+03 1.410352e+03 8.093984e+03 8.609824e+03
8.517500e-02 6.152775e+03 1.040858e+03 7.364241e+03 7.310410e+03
9.515700e-02 6.677061e+03 8.056691e+02 6.690569e+03 6.250695e+03
1.051620e-01 5.325870e+03 6.604807e+02 5.768483e+03 5.347238e+03
1.151480e-01 5.189161e+03 5.427923e+02 4.753892e+03 4.624411e+03
1.251460e-01 3.642044e+03 4.649472e+02 3.873101e+03 4.022298e+03
1.351460e-01 2.796607e+03 3.959948e+02 3.286817e+03 3.518147e+03
1.451320e-01 3.058574e+03 3.414293e+02 2.954087e+03 3.088906e+03
1.551140e-01 2.480616e+03 2.990216e+02 2.724654e+03 2.716899e+03
1.651020e-01 2.466416e+03 2.554929e+02 2.490340e+03 2.404166e+03
1.751050e-01 2.327293e+03 2.249544e+02 2.216698e+03 2.138749e+03
1.850970e-01 2.149132e+03 2.033879e+02 1.935210e+03 1.909027e+03
1.950850e-01 1.523897e+03 1.813911e+02 1.693430e+03 1.711015e+03

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#5.437661e+00	1.570503e+04	-6.693248e+03	7.821751e+02	7.684763e-02	-3.065059e+03	-2.075236e+03	7.864734e+02	1.385000e+01	 9.030000e+00	 1.319104e-02	 1.307438e+00	 1.045344e+00	 5.869068e+01	 72-17
