#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
2.564600e-02 2.263813e+04 5.834693e+03 2.621813e+04 2.485566e+04
3.546900e-02 1.878963e+04 3.261405e+03 2.051090e+04 2.071273e+04
4.537800e-02 1.454702e+04 2.071864e+03 1.580964e+04 1.669295e+04
5.528000e-02 1.304253e+04 1.482101e+03 1.276765e+04 1.347855e+04
6.523200e-02 1.000118e+04 1.109735e+03 1.089821e+04 1.104652e+04
7.522900e-02 1.012472e+04 8.588790e+02 9.531387e+03 9.234857e+03
8.519300e-02 7.496087e+03 6.581388e+02 8.132839e+03 7.753855e+03
9.516600e-02 6.657852e+03 5.070864e+02 6.725158e+03 6.544193e+03
1.051550e-01 5.393927e+03 4.090351e+02 5.516582e+03 5.580672e+03
1.151310e-01 4.786221e+03 3.456156e+02 4.606741e+03 4.782995e+03
1.251240e-01 4.185552e+03 2.937246e+02 3.994341e+03 4.125140e+03
1.351250e-01 3.275429e+03 2.490825e+02 3.548413e+03 3.565314e+03
1.451200e-01 3.024168e+03 2.252544e+02 3.161162e+03 3.096846e+03
1.551180e-01 2.872139e+03 1.897760e+02 2.786470e+03 2.713873e+03
1.651050e-01 2.253537e+03 1.691920e+02 2.409018e+03 2.377958e+03
1.750880e-01 2.062996e+03 1.464535e+02 2.081471e+03 2.095571e+03
1.850890e-01 1.772139e+03 1.335446e+02 1.823641e+03 1.856172e+03
1.950930e-01 1.659815e+03 1.228995e+02 1.629480e+03 1.652120e+03

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#3.609505e+00	9.541152e+03	-3.799224e+03	3.225155e+02	5.871537e+00	-1.798299e+03	-1.747459e+02	-2.577881e+02	1.218000e+01	 7.310000e+00	 3.698963e-01	 1.057778e+00	 9.832927e-01	 5.627149e+01	 72-17
