#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
2.564600e-02 6.368859e+04 4.006282e+03 6.486019e+04 6.307038e+04
3.546900e-02 5.064408e+04 2.280966e+03 4.980094e+04 5.099441e+04
4.536800e-02 3.786030e+04 1.482969e+03 3.931661e+04 4.112044e+04
5.531400e-02 3.339699e+04 1.022854e+03 3.301044e+04 3.377626e+04
6.525800e-02 2.999120e+04 7.714873e+02 2.875901e+04 2.835199e+04
7.520900e-02 2.437357e+04 5.991539e+02 2.496803e+04 2.421013e+04
8.517500e-02 2.133157e+04 4.423736e+02 2.121903e+04 2.085390e+04
9.515700e-02 1.778289e+04 3.505891e+02 1.801613e+04 1.815868e+04
1.051620e-01 1.567801e+04 2.813171e+02 1.564029e+04 1.595394e+04
1.151480e-01 1.386707e+04 2.421615e+02 1.396149e+04 1.412527e+04
1.251460e-01 1.250915e+04 1.973180e+02 1.262639e+04 1.258417e+04
1.351460e-01 1.139875e+04 1.715754e+02 1.139124e+04 1.127342e+04
1.451320e-01 1.052058e+04 1.457970e+02 1.022664e+04 1.015875e+04
1.551140e-01 9.237567e+03 1.275089e+02 9.187817e+03 9.195521e+03
1.651020e-01 8.228779e+03 1.191531e+02 8.315116e+03 8.354554e+03
1.751050e-01 7.462758e+03 1.031396e+02 7.592218e+03 7.618268e+03
1.850970e-01 7.047842e+03 8.943816e+01 6.970074e+03 6.970766e+03
1.950850e-01 6.419309e+03 8.345461e+01 6.410992e+03 6.399142e+03

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#3.792442e+00	-6.070016e+02	-7.258586e+02	6.550454e+02	4.681704e+00	-8.360238e+03	2.075318e+03	2.103313e+02	1.385000e+01	 9.030000e+00	 3.160238e-01	 1.099498e+00	 9.844113e-01	 7.201158e+01	 72-17
