#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 2.753153e+04 5.728861e+03 2.159325e+04
3.546900e-02 1.588046e+04 3.203750e+03 1.804126e+04
4.537800e-02 1.262088e+04 2.088008e+03 1.411864e+04
5.528000e-02 1.207759e+04 1.488664e+03 1.156922e+04
6.523200e-02 1.154816e+04 1.105007e+03 1.030308e+04
7.522900e-02 9.971507e+03 8.147362e+02 9.446371e+03
8.519300e-02 7.690638e+03 6.423518e+02 8.164682e+03
9.516600e-02 6.584769e+03 5.006437e+02 6.565302e+03
1.051550e-01 5.238284e+03 4.015148e+02 5.103167e+03
1.151310e-01 4.130792e+03 3.337855e+02 4.181278e+03
1.251240e-01 4.027515e+03 2.927085e+02 3.740253e+03
1.351250e-01 3.557439e+03 2.445238e+02 3.463322e+03
1.451200e-01 3.254394e+03 2.176334e+02 3.108451e+03
1.551180e-01 2.614205e+03 1.810367e+02 2.642308e+03
1.651050e-01 2.268061e+03 1.599251e+02 2.149514e+03
1.750880e-01 1.587339e+03 1.493945e+02 1.787883e+03
1.850890e-01 1.551961e+03 1.312579e+02 1.547545e+03
1.950930e-01 1.387702e+03 1.213833e+02 1.383719e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#1.055015	0.924955	0.364928	1.199909	0.244111	1.011249	4.358867	1.199909	0.244111	1.011249	4.358867	56.811230 	 72-11
