#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 1.691736e+04 9.002477e+03 2.430239e+04
3.546900e-02 2.093114e+04 5.550014e+03 1.961239e+04
4.536800e-02 1.402463e+04 3.442054e+03 1.555678e+04
5.531400e-02 1.388455e+04 2.397204e+03 1.305486e+04
6.525800e-02 1.134980e+04 1.848165e+03 1.137048e+04
7.520900e-02 1.040099e+04 1.427121e+03 9.732943e+03
8.517500e-02 7.940237e+03 1.034219e+03 7.994307e+03
9.515700e-02 6.647755e+03 8.162805e+02 6.456775e+03
1.051620e-01 4.910014e+03 6.718356e+02 5.298937e+03
1.151480e-01 4.427347e+03 5.420027e+02 4.535491e+03
1.251460e-01 4.095658e+03 4.535195e+02 4.003629e+03
1.351460e-01 3.434712e+03 3.868590e+02 3.557902e+03
1.451320e-01 2.499454e+03 3.405732e+02 3.127881e+03
1.551140e-01 2.747474e+03 2.970613e+02 2.703155e+03
1.651020e-01 2.368251e+03 2.568253e+02 2.307842e+03
1.751050e-01 2.283281e+03 2.270777e+02 1.999564e+03
1.850970e-01 1.948143e+03 2.048604e+02 1.783552e+03
1.950850e-01 1.481990e+03 1.783345e+02 1.631397e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#0.965648	0.913634	0.424688	1.172916	1.498983	0.760611	4.045834	1.172916	1.498983	0.760611	4.045834	59.692900 	 72-11
