#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 6.181091e+04 3.941315e+03 6.061517e+04
3.546900e-02 4.887562e+04 2.332223e+03 4.864851e+04
4.536800e-02 4.286787e+04 1.472100e+03 3.967747e+04
5.531400e-02 3.446430e+04 1.019281e+03 3.398896e+04
6.525800e-02 2.960846e+04 7.510858e+02 2.959862e+04
7.520900e-02 2.555036e+04 5.977086e+02 2.527154e+04
8.517500e-02 2.176989e+04 4.420094e+02 2.129207e+04
9.515700e-02 1.794949e+04 3.528053e+02 1.814457e+04
1.051620e-01 1.531311e+04 2.743676e+02 1.588218e+04
1.151480e-01 1.417743e+04 2.399903e+02 1.416630e+04
1.251460e-01 1.249781e+04 1.933166e+02 1.265765e+04
1.351460e-01 1.129955e+04 1.725968e+02 1.130058e+04
1.451320e-01 1.013048e+04 1.416208e+02 1.013890e+04
1.551140e-01 9.315297e+03 1.252944e+02 9.190722e+03
1.651020e-01 8.467107e+03 1.169454e+02 8.422654e+03
1.751050e-01 7.746985e+03 1.025878e+02 7.748664e+03
1.850970e-01 7.064382e+03 8.678640e+01 7.151379e+03
1.950850e-01 6.629746e+03 8.042484e+01 6.618394e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#1.251102	0.863056	0.237584	1.301672	-0.984418	1.863940	6.619306	1.301672	-0.984418	1.863940	6.619306	55.642570 	 72-11
