#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 5.773156e+04 2.545024e+03 5.796515e+04
3.546900e-02 4.660231e+04 1.402254e+03 4.608341e+04
4.537800e-02 3.870728e+04 8.959835e+02 3.680879e+04
5.528000e-02 3.079743e+04 6.492799e+02 3.137182e+04
6.523200e-02 2.801262e+04 4.743030e+02 2.776015e+04
7.522900e-02 2.379849e+04 3.536445e+02 2.416920e+04
8.519300e-02 1.999811e+04 2.808882e+02 2.034795e+04
9.516600e-02 1.731803e+04 2.212556e+02 1.697955e+04
1.051550e-01 1.469640e+04 1.732168e+02 1.457196e+04
1.151310e-01 1.291936e+04 1.462162e+02 1.306235e+04
1.251240e-01 1.214034e+04 1.256686e+02 1.194205e+04
1.351250e-01 1.087239e+04 1.154657e+02 1.084882e+04
1.451200e-01 9.702348e+03 9.419011e+01 9.722091e+03
1.551180e-01 8.684431e+03 8.525861e+01 8.654593e+03
1.651050e-01 7.799677e+03 7.613823e+01 7.792865e+03
1.750880e-01 7.134040e+03 6.951616e+01 7.141033e+03
1.850890e-01 6.640037e+03 6.273365e+01 6.592079e+03
1.950930e-01 6.134028e+03 5.500268e+01 6.111212e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#1.014491	1.008797	0.474878	1.155659	-1.110333	1.694627	4.907794	1.155659	-1.110333	1.694627	4.907794	55.492790 	 72-11
