#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 6.929371e+04 3.941315e+03 6.241431e+04
3.546900e-02 5.201087e+04 2.332223e+03 4.946134e+04
4.536800e-02 3.914446e+04 1.472100e+03 3.971615e+04
5.531400e-02 3.577054e+04 1.019281e+03 3.399319e+04
6.525800e-02 2.982684e+04 7.510858e+02 3.000364e+04
7.520900e-02 2.654357e+04 5.977086e+02 2.588796e+04
8.517500e-02 2.165545e+04 4.420094e+02 2.164443e+04
9.515700e-02 1.797762e+04 3.528053e+02 1.808506e+04
1.051620e-01 1.555888e+04 2.743676e+02 1.565029e+04
1.151480e-01 1.369536e+04 2.399903e+02 1.412636e+04
1.251460e-01 1.261824e+04 1.933166e+02 1.289695e+04
1.351460e-01 1.148251e+04 1.725968e+02 1.162971e+04
1.451320e-01 1.024532e+04 1.416208e+02 1.035535e+04
1.551140e-01 9.244910e+03 1.252944e+02 9.201867e+03
1.651020e-01 8.226233e+03 1.169454e+02 8.301784e+03
1.751050e-01 7.690936e+03 1.025878e+02 7.609423e+03
1.850970e-01 7.100077e+03 8.678640e+01 7.005837e+03
1.950850e-01 6.461321e+03 8.042484e+01 6.458318e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#0.963374	0.995614	0.404473	1.269839	0.484378	0.777997	3.196612	1.269839	0.484378	0.777997	3.196612	71.301660 	 72-11
