#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 2.299798e+04 5.728861e+03 2.344929e+04
3.546900e-02 1.457224e+04 3.203750e+03 1.850189e+04
4.537800e-02 1.178553e+04 2.088008e+03 1.457328e+04
5.528000e-02 1.225340e+04 1.488664e+03 1.224612e+04
6.523200e-02 1.105039e+04 1.105007e+03 1.063268e+04
7.522900e-02 1.006441e+04 8.147362e+02 9.040965e+03
8.519300e-02 8.254846e+03 6.423518e+02 7.430549e+03
9.516600e-02 6.479801e+03 5.006437e+02 6.068924e+03
1.051550e-01 5.390535e+03 4.015148e+02 5.064738e+03
1.151310e-01 4.161023e+03 3.337855e+02 4.347348e+03
1.251240e-01 3.534025e+03 2.927085e+02 3.770798e+03
1.351250e-01 3.156221e+03 2.445238e+02 3.282992e+03
1.451200e-01 3.022353e+03 2.176334e+02 2.877668e+03
1.551180e-01 2.231190e+03 1.810367e+02 2.548559e+03
1.651050e-01 2.209200e+03 1.599251e+02 2.252394e+03
1.750880e-01 2.054266e+03 1.493945e+02 1.950062e+03
1.850890e-01 1.803599e+03 1.312579e+02 1.675806e+03
1.950930e-01 1.404695e+03 1.213833e+02 1.440822e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#1.013221	1.000127	0.464694	1.153481	-0.058635	1.206892	3.841129	1.153481	-0.058635	1.206892	3.841129	56.785790 	 72-11
