#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 5.821758e+04 2.545024e+03 5.662562e+04
3.546900e-02 4.767929e+04 1.402254e+03 4.531232e+04
4.537800e-02 3.680151e+04 8.959835e+02 3.632431e+04
5.528000e-02 3.005374e+04 6.492799e+02 3.095673e+04
6.523200e-02 2.747781e+04 4.743030e+02 2.738038e+04
7.522900e-02 2.359060e+04 3.536445e+02 2.388814e+04
8.519300e-02 1.997016e+04 2.808882e+02 2.018792e+04
9.516600e-02 1.717882e+04 2.212556e+02 1.689751e+04
1.051550e-01 1.480725e+04 1.732168e+02 1.450650e+04
1.151310e-01 1.299809e+04 1.462162e+02 1.297651e+04
1.251240e-01 1.182750e+04 1.256686e+02 1.184680e+04
1.351250e-01 1.060663e+04 1.154657e+02 1.076915e+04
1.451200e-01 9.575670e+03 9.419011e+01 9.673456e+03
1.551180e-01 8.543594e+03 8.525861e+01 8.637714e+03
1.651050e-01 7.774803e+03 7.613823e+01 7.799935e+03
1.750880e-01 7.133201e+03 6.951616e+01 7.166359e+03
1.850890e-01 6.678318e+03 6.273365e+01 6.635838e+03
1.950930e-01 6.178681e+03 5.500268e+01 6.174223e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#1.043317	1.003152	0.501363	1.171191	-1.334871	1.826889	5.340021	1.171191	-1.334871	1.826889	5.340021	56.525990 	 72-11
