#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 5.863930e+04 2.545024e+03 5.761022e+04
3.546900e-02 4.605786e+04 1.402254e+03 4.572867e+04
4.537800e-02 3.722225e+04 8.959835e+02 3.654531e+04
5.528000e-02 3.130879e+04 6.492799e+02 3.120108e+04
6.523200e-02 2.724633e+04 4.743030e+02 2.762797e+04
7.522900e-02 2.437501e+04 3.536445e+02 2.402551e+04
8.519300e-02 2.027400e+04 2.808882e+02 2.020295e+04
9.516600e-02 1.706189e+04 2.212556e+02 1.686401e+04
1.051550e-01 1.438612e+04 1.732168e+02 1.450451e+04
1.151310e-01 1.289421e+04 1.462162e+02 1.303381e+04
1.251240e-01 1.198855e+04 1.256686e+02 1.192809e+04
1.351250e-01 1.066302e+04 1.154657e+02 1.083199e+04
1.451200e-01 9.697204e+03 9.419011e+01 9.699586e+03
1.551180e-01 8.522506e+03 8.525861e+01 8.632667e+03
1.651050e-01 7.817407e+03 7.613823e+01 7.779255e+03
1.750880e-01 7.188967e+03 6.951616e+01 7.134143e+03
1.850890e-01 6.632903e+03 6.273365e+01 6.587931e+03
1.950930e-01 6.051426e+03 5.500268e+01 6.106429e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#0.999870	1.008826	0.446757	1.180378	0.261878	1.092675	3.837210	1.180378	0.261878	1.092675	3.837210	62.271050 	 72-11
