#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 6.857029e+04 3.941315e+03 6.254343e+04
3.546900e-02 5.421085e+04 2.332223e+03 4.923107e+04
4.536800e-02 4.094133e+04 1.472100e+03 3.967499e+04
5.531400e-02 3.235520e+04 1.019281e+03 3.401820e+04
6.525800e-02 3.054982e+04 7.510858e+02 2.977675e+04
7.520900e-02 2.514981e+04 5.977086e+02 2.536667e+04
8.517500e-02 2.086326e+04 4.420094e+02 2.112099e+04
9.515700e-02 1.808147e+04 3.528053e+02 1.777274e+04
1.051620e-01 1.559562e+04 2.743676e+02 1.552130e+04
1.151480e-01 1.392266e+04 2.399903e+02 1.399965e+04
1.251460e-01 1.281647e+04 1.933166e+02 1.268023e+04
1.351460e-01 1.135242e+04 1.725968e+02 1.138319e+04
1.451320e-01 1.016456e+04 1.416208e+02 1.016083e+04
1.551140e-01 9.265508e+03 1.252944e+02 9.102230e+03
1.651020e-01 8.318300e+03 1.169454e+02 8.264423e+03
1.751050e-01 7.539008e+03 1.025878e+02 7.593234e+03
1.850970e-01 7.061330e+03 8.678640e+01 7.009786e+03
1.950850e-01 6.495858e+03 8.042484e+01 6.487563e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#0.890669	1.000644	0.560183	1.141460	-1.200233	1.765699	4.756336	1.141460	-1.200233	1.765699	4.756336	68.750180 	 72-11
