#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 6.315045e+04 2.545024e+03 5.831880e+04
3.546900e-02 4.648327e+04 1.402254e+03 4.613565e+04
4.537800e-02 3.711802e+04 8.959835e+02 3.683791e+04
5.528000e-02 3.101995e+04 6.492799e+02 3.144320e+04
6.523200e-02 2.754606e+04 4.743030e+02 2.777766e+04
7.522900e-02 2.358944e+04 3.536445e+02 2.405616e+04
8.519300e-02 2.020127e+04 2.808882e+02 2.017503e+04
9.516600e-02 1.730592e+04 2.212556e+02 1.684618e+04
1.051550e-01 1.434991e+04 1.732168e+02 1.451908e+04
1.151310e-01 1.314196e+04 1.462162e+02 1.305197e+04
1.251240e-01 1.186399e+04 1.256686e+02 1.191996e+04
1.351250e-01 1.075917e+04 1.154657e+02 1.079875e+04
1.451200e-01 9.622695e+03 9.419011e+01 9.666678e+03
1.551180e-01 8.586104e+03 8.525861e+01 8.620195e+03
1.651050e-01 7.786785e+03 7.613823e+01 7.787348e+03
1.750880e-01 7.102811e+03 6.951616e+01 7.144765e+03
1.850890e-01 6.688640e+03 6.273365e+01 6.596507e+03
1.950930e-01 6.081386e+03 5.500268e+01 6.112053e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#0.980880	1.010133	0.529945	1.149123	0.128337	1.179282	4.346732	1.149123	0.128337	1.179282	4.346732	61.362380 	 72-11
