#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 1.453232e+04 9.002477e+03 2.062133e+04
3.546900e-02 1.406630e+04 5.550014e+03 1.620226e+04
4.536800e-02 9.522097e+03 3.442054e+03 1.307738e+04
5.531400e-02 1.177767e+04 2.397204e+03 1.131072e+04
6.525800e-02 8.512208e+03 1.848165e+03 9.818574e+03
7.520900e-02 8.915858e+03 1.427121e+03 8.090948e+03
8.517500e-02 6.626785e+03 1.034219e+03 6.528969e+03
9.515700e-02 5.460624e+03 8.162805e+02 5.474186e+03
1.051620e-01 5.420233e+03 6.718356e+02 4.869745e+03
1.151480e-01 4.260529e+03 5.420027e+02 4.407238e+03
1.251460e-01 4.183246e+03 4.535195e+02 3.871623e+03
1.351460e-01 3.793806e+03 3.868590e+02 3.314129e+03
1.451320e-01 2.652349e+03 3.405732e+02 2.886556e+03
1.551140e-01 2.501599e+03 2.970613e+02 2.611500e+03
1.651020e-01 2.364188e+03 2.568253e+02 2.424031e+03
1.751050e-01 2.343305e+03 2.270777e+02 2.182794e+03
1.850970e-01 1.884705e+03 2.048604e+02 1.923540e+03
1.950850e-01 1.700742e+03 1.783345e+02 1.675728e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#0.974762	1.023686	0.427165	1.288417	0.120553	0.912465	3.189817	1.288417	0.120553	0.912465	3.189817	35.275500 	 72-11
