#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 6.685261e+04 3.941315e+03 6.084982e+04
3.546900e-02 4.532882e+04 2.332223e+03 4.847889e+04
4.536800e-02 3.936888e+04 1.472100e+03 3.937679e+04
5.531400e-02 3.380004e+04 1.019281e+03 3.381694e+04
6.525800e-02 3.030121e+04 7.510858e+02 2.959499e+04
7.520900e-02 2.516369e+04 5.977086e+02 2.527949e+04
8.517500e-02 2.165212e+04 4.420094e+02 2.117358e+04
9.515700e-02 1.814239e+04 3.528053e+02 1.792814e+04
1.051620e-01 1.564485e+04 2.743676e+02 1.569876e+04
1.151480e-01 1.399786e+04 2.399903e+02 1.411279e+04
1.251460e-01 1.251188e+04 1.933166e+02 1.270974e+04
1.351460e-01 1.155976e+04 1.725968e+02 1.136923e+04
1.451320e-01 9.966196e+03 1.416208e+02 1.016088e+04
1.551140e-01 9.147299e+03 1.252944e+02 9.163788e+03
1.651020e-01 8.302621e+03 1.169454e+02 8.389577e+03
1.751050e-01 7.777512e+03 1.025878e+02 7.733456e+03
1.850970e-01 7.126878e+03 8.678640e+01 7.143277e+03
1.950850e-01 6.592804e+03 8.042484e+01 6.604109e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#1.125055	0.886028	0.310346	1.230036	-0.319281	1.376857	4.816232	1.230036	-0.319281	1.376857	4.816232	62.426880 	 72-11
