#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 3.763523e+04 9.002477e+03 2.699822e+04
3.546900e-02 1.617459e+04 5.550014e+03 2.177349e+04
4.536800e-02 1.490486e+04 3.442054e+03 1.705849e+04
5.531400e-02 1.859795e+04 2.397204e+03 1.394580e+04
6.525800e-02 1.158674e+04 1.848165e+03 1.176906e+04
7.520900e-02 9.071873e+03 1.427121e+03 9.833874e+03
8.517500e-02 7.289329e+03 1.034219e+03 7.989962e+03
9.515700e-02 6.351464e+03 8.162805e+02 6.424596e+03
1.051620e-01 5.473513e+03 6.718356e+02 5.210762e+03
1.151480e-01 3.787095e+03 5.420027e+02 4.298868e+03
1.251460e-01 3.559549e+03 4.535195e+02 3.609331e+03
1.351460e-01 3.229905e+03 3.868590e+02 3.096814e+03
1.451320e-01 2.958581e+03 3.405732e+02 2.727372e+03
1.551140e-01 2.682313e+03 2.970613e+02 2.451298e+03
1.651020e-01 2.242999e+03 2.568253e+02 2.205319e+03
1.751050e-01 1.995420e+03 2.270777e+02 1.949774e+03
1.850970e-01 1.869326e+03 2.048604e+02 1.738297e+03
1.950850e-01 1.624003e+03 1.783345e+02 1.574669e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#1.022328	0.995419	0.548161	1.236096	-0.242801	1.419088	5.049168	1.236096	-0.242801	1.419088	5.049168	58.001350 	 72-11
