#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 6.379607e+04 3.941315e+03 6.022312e+04
3.546900e-02 5.057933e+04 2.332223e+03 4.813930e+04
4.536800e-02 3.779395e+04 1.472100e+03 3.875659e+04
5.531400e-02 3.336145e+04 1.019281e+03 3.311866e+04
6.525800e-02 2.993146e+04 7.510858e+02 2.925290e+04
7.520900e-02 2.440993e+04 5.977086e+02 2.540199e+04
8.517500e-02 2.135720e+04 4.420094e+02 2.140402e+04
9.515700e-02 1.780321e+04 3.528053e+02 1.795356e+04
1.051620e-01 1.566110e+04 2.743676e+02 1.550200e+04
1.151480e-01 1.390160e+04 2.399903e+02 1.392425e+04
1.251460e-01 1.255234e+04 1.933166e+02 1.270029e+04
1.351460e-01 1.141343e+04 1.725968e+02 1.150124e+04
1.451320e-01 1.054373e+04 1.416208e+02 1.029811e+04
1.551140e-01 9.258340e+03 1.252944e+02 9.187847e+03
1.651020e-01 8.249668e+03 1.169454e+02 8.299108e+03
1.751050e-01 7.485383e+03 1.025878e+02 7.608250e+03
1.850970e-01 7.066027e+03 8.678640e+01 7.016124e+03
1.950850e-01 6.448248e+03 8.042484e+01 6.489930e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#1.005383	0.996520	0.503757	1.242578	1.598528	0.853369	4.231042	1.242578	1.598528	0.853369	4.231042	74.186040 	 72-11
