#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 1.925236e+04 5.728861e+03 2.485751e+04
3.546900e-02 1.565919e+04 3.203750e+03 1.991632e+04
4.537800e-02 1.510387e+04 2.088008e+03 1.558496e+04
5.528000e-02 1.310910e+04 1.488664e+03 1.285255e+04
6.523200e-02 1.060952e+04 1.105007e+03 1.105908e+04
7.522900e-02 8.360178e+03 8.147362e+02 9.483080e+03
8.519300e-02 7.838975e+03 6.423518e+02 7.866413e+03
9.516600e-02 6.371711e+03 5.006437e+02 6.390778e+03
1.051550e-01 5.748834e+03 4.015148e+02 5.213469e+03
1.151310e-01 4.695570e+03 3.337855e+02 4.360727e+03
1.251240e-01 3.983776e+03 2.927085e+02 3.743414e+03
1.351250e-01 3.354166e+03 2.445238e+02 3.277382e+03
1.451200e-01 2.702353e+03 2.176334e+02 2.903582e+03
1.551180e-01 2.447609e+03 1.810367e+02 2.591646e+03
1.651050e-01 2.135396e+03 1.599251e+02 2.301666e+03
1.750880e-01 1.932345e+03 1.493945e+02 2.019824e+03
1.850890e-01 1.839906e+03 1.312579e+02 1.776395e+03
1.950930e-01 1.546586e+03 1.213833e+02 1.574714e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#1.043317	1.003152	0.501363	1.171191	-1.334871	1.826889	5.340021	1.171191	-1.334871	1.826889	5.340021	56.525990 	 72-11
