#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 2.971665e+04 5.728861e+03 2.663933e+04
3.546900e-02 1.673120e+04 3.203750e+03 2.018003e+04
4.537800e-02 1.532486e+04 2.088008e+03 1.585995e+04
5.528000e-02 1.591719e+04 1.488664e+03 1.346362e+04
6.523200e-02 1.168861e+04 1.105007e+03 1.143929e+04
7.522900e-02 8.630912e+03 8.147362e+02 9.162635e+03
8.519300e-02 7.379275e+03 6.423518e+02 7.172266e+03
9.516600e-02 5.702828e+03 5.006437e+02 5.847666e+03
1.051550e-01 4.806628e+03 4.015148e+02 5.059942e+03
1.151310e-01 3.600042e+03 3.337855e+02 4.436326e+03
1.251240e-01 3.997770e+03 2.927085e+02 3.773524e+03
1.351250e-01 3.233397e+03 2.445238e+02 3.151165e+03
1.451200e-01 2.831586e+03 2.176334e+02 2.712933e+03
1.551180e-01 2.574974e+03 1.810367e+02 2.438628e+03
1.651050e-01 2.143038e+03 1.599251e+02 2.225164e+03
1.750880e-01 2.012621e+03 1.493945e+02 1.953582e+03
1.850890e-01 1.627920e+03 1.312579e+02 1.696472e+03
1.950930e-01 1.495226e+03 1.213833e+02 1.475215e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#0.961105	1.011721	0.541667	1.116818	-1.187469	1.629216	4.847683	1.116818	-1.187469	1.629216	4.847683	52.659880 	 72-11
