#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 1.282795e+04 5.728861e+03 2.317116e+04
3.546900e-02 1.585095e+04 3.203750e+03 1.899567e+04
4.537800e-02 1.626576e+04 2.088008e+03 1.489369e+04
5.528000e-02 1.152265e+04 1.488664e+03 1.219596e+04
6.523200e-02 1.167831e+04 1.105007e+03 1.058362e+04
7.522900e-02 8.709076e+03 8.147362e+02 9.349883e+03
8.519300e-02 7.807210e+03 6.423518e+02 7.960182e+03
9.516600e-02 7.001247e+03 5.006437e+02 6.492919e+03
1.051550e-01 5.444202e+03 4.015148e+02 5.186317e+03
1.151310e-01 4.958762e+03 3.337855e+02 4.239057e+03
1.251240e-01 3.475352e+03 2.927085e+02 3.658378e+03
1.351250e-01 3.283552e+03 2.445238e+02 3.298830e+03
1.451200e-01 3.057860e+03 2.176334e+02 2.967531e+03
1.551180e-01 2.524522e+03 1.810367e+02 2.628052e+03
1.651050e-01 1.866589e+03 1.599251e+02 2.258833e+03
1.750880e-01 1.759624e+03 1.493945e+02 1.930893e+03
1.850890e-01 1.672653e+03 1.312579e+02 1.682042e+03
1.950930e-01 1.655986e+03 1.213833e+02 1.496876e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#1.060163	0.974201	0.443717	1.192669	0.324987	1.099112	4.325545	1.192669	0.324987	1.099112	4.325545	77.265190 	 72-11
