#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 3.018492e+04 9.002477e+03 2.156375e+04
3.546900e-02 1.673910e+04 5.550014e+03 1.781419e+04
4.536800e-02 1.498520e+04 3.442054e+03 1.422470e+04
5.531400e-02 1.236061e+04 2.397204e+03 1.184178e+04
6.525800e-02 9.078727e+03 1.848165e+03 1.026360e+04
7.520900e-02 8.396744e+03 1.427121e+03 8.898666e+03
8.517500e-02 7.362644e+03 1.034219e+03 7.497229e+03
9.515700e-02 5.648449e+03 8.162805e+02 6.190270e+03
1.051620e-01 5.356329e+03 6.718356e+02 5.112821e+03
1.151480e-01 3.517067e+03 5.420027e+02 4.297670e+03
1.251460e-01 3.409493e+03 4.535195e+02 3.690477e+03
1.351460e-01 3.444713e+03 3.868590e+02 3.222407e+03
1.451320e-01 3.199049e+03 3.405732e+02 2.841201e+03
1.551140e-01 2.460583e+03 2.970613e+02 2.511274e+03
1.651020e-01 2.088729e+03 2.568253e+02 2.193829e+03
1.751050e-01 2.075641e+03 2.270777e+02 1.871174e+03
1.850970e-01 1.746756e+03 2.048604e+02 1.585865e+03
1.950850e-01 1.217464e+03 1.783345e+02 1.345512e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#1.037916	1.005879	0.435748	1.266749	-0.155881	1.287638	4.103721	1.266749	-0.155881	1.287638	4.103721	45.834880 	 72-11
