#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 5.986049e+04 3.941315e+03 6.251226e+04
3.546900e-02 4.913027e+04 2.332223e+03 4.953302e+04
4.536800e-02 4.111617e+04 1.472100e+03 3.990835e+04
5.531400e-02 3.379645e+04 1.019281e+03 3.424844e+04
6.525800e-02 3.083084e+04 7.510858e+02 3.020019e+04
7.520900e-02 2.663723e+04 5.977086e+02 2.595912e+04
8.517500e-02 2.136857e+04 4.420094e+02 2.164949e+04
9.515700e-02 1.731945e+04 3.528053e+02 1.811577e+04
1.051620e-01 1.563312e+04 2.743676e+02 1.574019e+04
1.151480e-01 1.436615e+04 2.399903e+02 1.424893e+04
1.251460e-01 1.319749e+04 1.933166e+02 1.298517e+04
1.351460e-01 1.170618e+04 1.725968e+02 1.164453e+04
1.451320e-01 1.058570e+04 1.416208e+02 1.033193e+04
1.551140e-01 9.151852e+03 1.252944e+02 9.186642e+03
1.651020e-01 8.110831e+03 1.169454e+02 8.315000e+03
1.751050e-01 7.629947e+03 1.025878e+02 7.641703e+03
1.850970e-01 7.020910e+03 8.678640e+01 7.037576e+03
1.950850e-01 6.515833e+03 8.042484e+01 6.474769e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#0.976118	0.970773	0.379812	1.248185	0.667778	0.817232	3.439514	1.248185	0.667778	0.817232	3.439514	90.985360 	 72-11
