#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 1.096513e+04 9.002477e+03 2.316349e+04
3.546900e-02 8.847911e+03 5.550014e+03 1.993749e+04
4.536800e-02 1.208843e+04 3.442054e+03 1.572304e+04
5.531400e-02 1.211955e+04 2.397204e+03 1.250556e+04
6.525800e-02 1.072673e+04 1.848165e+03 1.060009e+04
7.520900e-02 1.059995e+04 1.427121e+03 9.422794e+03
8.517500e-02 8.547713e+03 1.034219e+03 8.189682e+03
9.515700e-02 6.790576e+03 8.162805e+02 6.725421e+03
1.051620e-01 4.730619e+03 6.718356e+02 5.232646e+03
1.151480e-01 4.139998e+03 5.420027e+02 4.061713e+03
1.251460e-01 2.968247e+03 4.535195e+02 3.368716e+03
1.351460e-01 2.712421e+03 3.868590e+02 3.028418e+03
1.451320e-01 2.559483e+03 3.405732e+02 2.790893e+03
1.551140e-01 2.556257e+03 2.970613e+02 2.529384e+03
1.651020e-01 2.524471e+03 2.568253e+02 2.197010e+03
1.751050e-01 1.980704e+03 2.270777e+02 1.895767e+03
1.850970e-01 1.861821e+03 2.048604e+02 1.692253e+03
1.950850e-01 1.537534e+03 1.783345e+02 1.563794e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#1.108823	0.973606	0.461788	1.239658	-1.798786	2.620100	6.829029	1.239658	-1.798786	2.620100	6.829029	59.627260 	 72-11
