#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 6.080529e+04 2.545024e+03 5.688717e+04
3.546900e-02 4.402072e+04 1.402254e+03 4.517166e+04
4.537800e-02 3.529991e+04 8.959835e+02 3.611102e+04
5.528000e-02 3.036392e+04 6.492799e+02 3.082777e+04
6.523200e-02 2.732682e+04 4.743030e+02 2.728788e+04
7.522900e-02 2.394005e+04 3.536445e+02 2.372542e+04
8.519300e-02 2.012336e+04 2.808882e+02 1.995685e+04
9.516600e-02 1.666086e+04 2.212556e+02 1.667266e+04
1.051550e-01 1.419164e+04 1.732168e+02 1.435445e+04
1.151310e-01 1.270256e+04 1.462162e+02 1.290581e+04
1.251240e-01 1.170807e+04 1.256686e+02 1.181180e+04
1.351250e-01 1.087588e+04 1.154657e+02 1.072794e+04
1.451200e-01 9.589711e+03 9.419011e+01 9.614163e+03
1.551180e-01 8.571618e+03 8.525861e+01 8.570340e+03
1.651050e-01 7.719493e+03 7.613823e+01 7.741349e+03
1.750880e-01 7.104524e+03 6.951616e+01 7.113845e+03
1.850890e-01 6.600886e+03 6.273365e+01 6.580176e+03
1.950930e-01 6.124053e+03 5.500268e+01 6.107602e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#1.013221	1.000127	0.464694	1.153481	-0.058635	1.206892	3.841129	1.153481	-0.058635	1.206892	3.841129	56.785790 	 72-11
