#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
4.535800e-02 -3.904302e+03 1.389354e+03 -4.638052e+03 -4.977692e+03
5.529600e-02 -5.006228e+03 1.021824e+03 -3.498446e+03 -4.127287e+03
6.523900e-02 -3.461661e+03 7.435086e+02 -3.188877e+03 -3.443658e+03
7.519300e-02 -2.738062e+03 5.752496e+02 -3.303607e+03 -2.975372e+03
8.517700e-02 -2.982629e+03 4.423735e+02 -3.003669e+03 -2.511516e+03
9.517700e-02 -2.534038e+03 3.571042e+02 -2.289668e+03 -2.156446e+03
1.051620e-01 -1.860886e+03 2.864621e+02 -1.565843e+03 -1.853311e+03
1.151400e-01 -1.772200e+03 2.379100e+02 -1.270731e+03 -1.607970e+03
1.251320e-01 -1.304282e+03 2.072905e+02 -1.335284e+03 -1.388319e+03
1.351140e-01 -1.259737e+03 1.847082e+02 -1.407971e+03 -1.198210e+03
1.451050e-01 -1.483415e+03 1.576932e+02 -1.258508e+03 -1.049319e+03
1.551050e-01 -7.916132e+02 1.373050e+02 -9.244040e+02 -9.034567e+02
1.650970e-01 -5.608912e+02 1.152264e+02 -6.452703e+02 -7.791092e+02
1.750960e-01 -4.791099e+02 1.098447e+02 -5.352573e+02 -6.625115e+02
1.850910e-01 -5.563666e+02 9.784459e+01 -5.488866e+02 -5.608275e+02
1.950860e-01 -6.367018e+02 9.079194e+01 -5.459719e+02 -4.660289e+02

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#5.146386e+00	4.351314e+03	-7.765458e+02	-1.625187e+02	3.720725e+00	1.466404e+04	-3.560239e+03	-9.307966e+00	4.300000e+00	 4.300000e+00	 1.773057e-01	 8.825466e-01	 9.843275e-01	 4.518533e+01	 68-17
